award_id_piid,contract_award_unique_key,recipient_name,description,total_obligation,first_action_date,psc_description,state,usaspending_url,sam_piid_url,sam_solicitation_url,doc_url,doc_local_path
140P6426C0001,CONT_AWD_140P6426C0001_1443_-NONE-_-NONE-,WINTROW CONSTRUCTION CORP,BRIDGE 447 TIMBER REPAIRS,377099.54,2026-01-29,REPAIR OR ALTERATION OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,OH,https://www.usaspending.gov/award/CONT_AWD_140P6426C0001_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P6426C0001&index=co,https://sam.gov/search/?keywords=140P6425Q0004&index=opp,,
140P6426C0002,CONT_AWD_140P6426C0002_1443_-NONE-_-NONE-,"FIVE STAR MECHANICAL, INC",EMERGENCY PLUMBING REPAIR,16410.00,2026-01-13,REPAIR OR ALTERATION OF WATER SUPPLY FACILITIES,KS,https://www.usaspending.gov/award/CONT_AWD_140P6426C0002_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P6426C0002&index=co,,,
140P6426P0027,CONT_AWD_140P6426P0027_1443_-NONE-_-NONE-,"SNYDER ENVIRONMENTAL & CONSTRUCTION, LLC","OTHER, MOLD AND ASBESTOS ABATEMENT",23776.00,2026-05-07,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,AR,https://www.usaspending.gov/award/CONT_AWD_140P6426P0027_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P6426P0027&index=co,,,
140P8126P0007,CONT_AWD_140P8126P0007_1443_-NONE-_-NONE-,"PIONEER EQUIPMENT, INC.",ROUTINE AND REPAIRS FOR 6 AIR COMPRESSORS AT 3 WATER TREATMENT PLANTS AROUND LAKE MEAD.,24396.30,2026-04-01,HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,NV,https://www.usaspending.gov/award/CONT_AWD_140P8126P0007_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P8126P0007&index=co,https://sam.gov/search/?keywords=140P8126Q0019&index=opp,,
140P8324P0003,CONT_AWD_140P8324P0003_1443_-NONE-_-NONE-,"THOMPSONGAS, LLC","SUPPLY BULK PROPANE AND TANKS TO MOUNT RAINIER NATIONAL PARK IN AND AROUND ASHFORD, WASHINGTON.",-3552.37,2025-03-26,"FUELS, SOLID",WA,https://www.usaspending.gov/award/CONT_AWD_140P8324P0003_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P8324P0003&index=co,https://sam.gov/search/?keywords=140P8324Q0004&index=opp,,
140P8324P0006,CONT_AWD_140P8324P0006_1443_-NONE-_-NONE-,ENUMCLAW GENERAL INFORMATION,MORA-VRP-FY24 DISPATCH SUPPORT,-6250.00,2025-01-21,OPERATION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,WA,https://www.usaspending.gov/award/CONT_AWD_140P8324P0006_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P8324P0006&index=co,https://sam.gov/search/?keywords=DOIPFBO240005&index=opp,,
140P8326P0001,CONT_AWD_140P8326P0001_1443_-NONE-_-NONE-,MOUNTAIN BARGE SERVICES LLC,URGENT EQUIPMENT RENTAL WITH OPERATOR FOR FLOOD RESPONSE - NOCA,178200.00,2025-12-17,"LEASE OR RENTAL OF EQUIPMENT- CONSTRUCTION, MINING, EXCAVATING, AND HIGHWAY MAINTENANCE EQUIPMENT",WA,https://www.usaspending.gov/award/CONT_AWD_140P8326P0001_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P8326P0001&index=co,,,
140P8422P0066,CONT_AWD_140P8422P0066_1443_-NONE-_-NONE-,"PRO PACIFIC AUTO REPAIR, INC","EMERGENCY FIRE ENGINE REPAIRS - CA-RWP-E652, REDWOOD NATIONAL PARK, CRESCENT CITY, CA.",-138.61,2025-04-07,MAINT/REPAIR/REBUILD OF EQUIPMENT- VEHICULAR EQUIPMENT COMPONENTS,CA,https://www.usaspending.gov/award/CONT_AWD_140P8422P0066_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P8422P0066&index=co,,,
140P8425P0024,CONT_AWD_140P8425P0024_1443_-NONE-_-NONE-,"GROUND UP ARBORIST & FORESTRY, LLC","THE NATIONAL PARK SERVICE (NPS) AT LASSEN VOLCANIC NATIONAL PARK (LAVO) HAS A REQUIREMENT FOR REMOVAL OF FELLED TREES. THE PROJECT IS LOCATED AT LASSEN VOLCANIC NATIONAL PARK, SHASTA COUNTY, CA.   THE NORTH AMERICAN INDUSTRY CLASSIFICATION SYSTEM (",18000.00,2025-05-15,NATURAL RESOURCES/CONSERVATION- TREE THINNING,CA,https://www.usaspending.gov/award/CONT_AWD_140P8425P0024_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P8425P0024&index=co,,,
140P8425P0069,CONT_AWD_140P8425P0069_1443_-NONE-_-NONE-,PETERSON MACHINERY CO,REPAIR CATERPILLAR 2021 CAT 150 AWD ROAD GRADER FOR CRATER LAKE NATIONAL PARK (CRLA),89506.52,2025-08-11,MAINT/REPAIR/REBUILD OF EQUIPMENT- SERVICE AND TRADE EQUIPMENT,OR,https://www.usaspending.gov/award/CONT_AWD_140P8425P0069_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P8425P0069&index=co,https://sam.gov/search/?keywords=PR0044027266&index=opp,,
140P8426P0001,CONT_AWD_140P8426P0001_1443_-NONE-_-NONE-,"DESERT CONSTRUCTION SERVICES, INC.",REPAIR WATER LEAK AT MOJAVE NATIONAL PRESERVE,10000.00,2025-10-24,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",CA,https://www.usaspending.gov/award/CONT_AWD_140P8426P0001_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P8426P0001&index=co,,,
